date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:58	73090/73090	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-11d82%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-04-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-04-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:45:59	85142/85142	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-14c96%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-05-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-05-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:00	98516/98516	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-180d4%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-06-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-06-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:01	91545/91545	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-16599%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-07-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-07-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:02	81779/81779	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-13f73%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-08-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-08-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:03	71426/71426	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-11702%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-09-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-09-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:04	99205/99205	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-18385%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-10-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-10-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:05	85172/85172	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-14cb4%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-11-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-11-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:06	96800/96800	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-17a20%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-12-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-12-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:46:08	81138/81138	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-13cf2%22	https://moversco-demo.pbminfotech.com/html-demo/images/service/service-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/service/service-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/services.html)
